Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein (35%), Low Carb (25%), Fiber Focus",167
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",63
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,82
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,31
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Calorie Deficit, Carb Emphasis (55%)",91
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,75
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (30P/40C/30F)",82
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Lean Protein Focus, Reduced Carbs",125
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",110
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Low Protein Diet, Increased Cardio Fuel",98
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Balanced Macronutrient Diet,57
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,63
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",79
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,51
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,177
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",140
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",146
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,82
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",85
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Balanced Macronutrient Diet,69
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",78
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","High Calorie, High Fat Diet",146
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",81
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",117
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein (35%), Low Carb (25%), Fiber Focus",142
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein, Calorie Deficit",74
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (35P/35C/30F)",83
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (35P/35C/30F)",40
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",164
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",102
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (25P/45C/30F)",61
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",66
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (30P/40C/30F)",75
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,59
